                 BEST y|                 CURR y|              ACCEPT PB|  ACC-BEST|            TEMPERATURE|                DENSITY|ACTUAL#MARKOV|
    0.14460064866702615|    0.14460064866702615|                    1.0|        TT|                 9000.0|       1.07909812133294|           22|
    0.14460064866702615|     0.9308930641382709|      0.999994226814773|        TF|      7860.000000000001|     0.7862924154712447|           32|
    0.14460064866702615|     1.9504281468411278|     0.9998477109349709|        TF|     6864.4000000000015|     1.8058274981741016|           29|
    0.05075427987425163|    0.05075427987425163|                    1.0|        TT|      6177.960000000002|     0.6140315660222783|           16|
    0.05075427987425163|     1.1236243604668497|     0.9999178924574105|        TF|      5560.164000000002|      1.072870080592598|           28|
    0.05075427987425163|      0.798400189750031|     0.9999718096507222|        TF|      4967.079840000001|     0.7476459098757794|           30|
    0.05075427987425163|    0.17800192178427698|                    1.0|        TF|      4441.673172480001|    0.42701509625143086|           30|
    0.05075427987425163|     1.2275836779128253|     0.9998925428845286|        TF|     3971.8428546798946|     1.1768293980385738|           30|
    0.05075427987425163|     1.0319040562935176|     0.9998566975362172|        TF|     3551.7101438293103|     0.9811497764192659|           26|
    0.05075427987425163|     0.5831520032063313|      0.999964920222412|        TF|     3176.0181375042544|     0.5323977233320797|           26|
    0.05075427987425163|     1.7051407983283495|     0.9996782028501768|        TF|     2840.0659967371375|      1.654386518454098|           29|
    0.05075427987425163|       1.56932218128305|     0.9995876296227673|        TF|     2539.6501268600537|     1.5185679014087983|           31|
    0.05075427987425163|       1.13647440944309|     0.9997006909334692|        TF|      2271.011580107746|     1.0857201295688386|           26|
    0.05075427987425163|     1.4210019026820657|     0.9998149747120242|        TF|     2030.7890218563489|     1.3702476228078142|           33|
    0.05075427987425163|     1.2307521527084593|     0.9995565670716383|        TF|     1815.9766719888773|     1.1799978728342078|           26|
    0.05075427987425163|     1.4190031059110437|     0.9994069158500366|        TF|     1623.8866951296095|     1.3682488260367922|           26|
    0.05075427987425163|     1.2954654508119754|     0.9994920686258824|        TF|     1452.1155691558997|     1.2447111709377237|           26|
    0.05075427987425163|     0.7491039840260517|     0.9996638790755877|        TF|     1298.5140111740757|     0.6983497041518001|           25|
    0.05075427987425163|       1.55302804824167|       0.99900099293892|        TF|     1161.1600846587735|     1.5022737683674183|           24|
   0.019619110447577803|   0.019619110447577803|                    1.0|        TT|     1045.0440761928962|    0.21988123806589033|           14|
   0.019619110447577803|     1.9288677737754973|      0.998423894267712|        TF|      940.5396685736066|     1.9092486633279195|           30|
   0.019619110447577803|      1.727946568708243|     0.9983504160019858|        TF|       846.485701716246|     1.7083274582606651|           22|
   0.019619110447577803|     1.8251687985919447|     0.9984408087122515|        TF|      761.8371315446215|      1.805549688144367|           28|
   0.019619110447577803|     0.3570357538562532|     0.9999140998340968|        TF|      685.6534183901593|     0.3374166434086754|           25|
   0.019619110447577803|     1.2713969213017924|     0.9983735578770485|        TF|      617.0880765511434|     1.2517778108542146|           31|
   0.019619110447577803|      2.055083205114175|     0.9972469774731815|        TF|      555.3792688960291|     2.0354640946665974|           30|
   0.019619110447577803|     1.3405812096321894|      0.997955977548645|        TF|      499.8413420064262|     1.3209620991846116|           29|
   0.019619110447577803|    0.34051046086931125|     0.9996081328055132|        TF|      449.8572078057836|    0.32089135042173345|           24|
   0.019619110447577803|     0.7731569840583729|     0.9993609285546698|        TF|      404.8714870252053|      0.753537873610795|           27|
   0.014765040266205731|   0.014765040266205731|                    1.0|        TT|     364.38433832268475|    0.10001545906831333|           21|
   0.014765040266205731|     1.2989222080340712|     0.9967209308096844|        TF|      327.9459044904163|     1.2841571677678654|           21|
   0.014765040266205731|     0.6688421231783787|     0.9987059183564886|        TF|      295.1513140413747|     0.6540770829121729|           26|
   0.014765040266205731|      1.306822265599182|     0.9959069698430729|        TF|     265.63618263723725|      1.292057225332976|           22|
   0.014765040266205731|     0.8380746852762834|     0.9974376376286447|        TF|     239.07256437351353|     0.8233096450100776|           23|
   0.014765040266205731|      1.070806363381395|     0.9967207255648954|        TF|     215.16530793616218|     1.0560413231151893|           25|
   0.014765040266205731|     0.9665285282775388|     0.9962641005118616|        TF|     193.64877714254595|      0.951763488011333|           23|
   0.014765040266205731|     1.6990763776964894|     0.9927817231854471|        TF|     174.28389942829136|     1.6843113374302838|           29|
   0.014765040266205731|     0.5205766683700214|      0.997735230662408|        TF|     156.85550948546222|     0.5058116281038156|           23|
   0.014765040266205731|     2.3696686446818154|     0.9855268143465784|        TF|       141.169958536916|     2.3549036044156098|           25|
   0.014765040266205731|    0.03495433518029445|                    1.0|        TF|     127.05296268322441|   0.058913827582020684|           26|
   0.014765040266205731|    0.14738862420539123|                    1.0|        TF|     114.34766641490197|     0.1326235839391855|           22|
   0.014765040266205731|    0.35005583424591646|     0.9977875376677232|        TF|     101.54072777643295|    0.33529079397971073|           27|
   0.014765040266205731|     1.2445043775968414|     0.9883756201833376|        TF|      90.16816626547245|     1.2297393373306358|           28|
   0.014765040266205731|     2.0751027676599954|      0.982766700861117|        TF|      80.06933164373953|     2.0603377273937897|           29|
   0.014765040266205731|      2.453851627535799|     0.9724239194799856|        TF|      71.10156649964071|     2.4390865872695935|           24|
   0.014765040266205731|    0.28234583665519053|     0.9972823433527288|        TF|     63.138191051680955|     0.2675807963889848|           21|
    0.01310588122443812|    0.01310588122443812|                    1.0|        TT|      56.82437194651286|    0.03904705573686518|           17|
    0.01310588122443812|     1.1345710717342756|     0.9845138890555422|        TF|      51.14193475186158|     1.1214651905098374|           25|
