                 BEST y|                 CURR y|              ACCEPT PB|  ACC-BEST|            TEMPERATURE|                DENSITY|ACTUAL#MARKOV|MAX MARKV LEN|
     0.6406491207897235|     0.6406491207897235|                    1.0|        TT|               900000.0|     0.8704001181928082|            6|           19|
     0.6406491207897235|     3.2594321293345407|     0.9999973670673707|        TF|       748421.052631579|     0.8128603107953749|           19|           19|
     0.6406491207897235|     0.7676055025513098|                    1.0|        TF|      622371.1911357341|    0.30151334532985385|           19|           19|
     0.6406491207897114|     0.6406491207897114|                    1.0|        TT|      560134.0720221607|     0.2672627376301594|           11|           12|
     0.6406491207897114|     1.0343094677514262|                    1.0|        TF|      504120.6648199447|    0.41026439891989075|           11|           11|
      0.578601527039645|      0.578601527039645|                    1.0|        TT|     453708.59833795024|     0.2714829725161835|            4|           13|
      0.578601527039645|       4.10752394929603|      0.999993090894812|        TF|      379465.3731553766|     0.8591361768836896|           11|           11|
      0.578601527039645|     3.9253018213853004|                    1.0|        TF|      311561.0432223092|     0.8525969330848939|           19|           19|
      0.578601527039645|      3.965767285044274|     0.9999983082251159|        TF|     255808.01443515913|     0.8541009884211637|           19|           19|
      0.578601527039645|      3.965767285044252|     0.9999985767792463|        TF|     210031.84343097275|     0.8541009884211628|           19|           19|
     0.5725999530207837|     0.5725999530207837|                    1.0|        TT|     189028.65908787548|     0.2039275322996541|           19|           19|
     0.5725999530207837|     0.8796333366935154|                    1.0|        TF|     170125.79317908792|    0.34904700727561133|           11|           11|
     0.5725999530207837|     0.6345531722094774|                    1.0|        TF|     151695.49891802008|    0.14825056696243732|           12|           12|
     0.5725999530207837|      1.003016034993144|                    1.0|        TF|      135472.5080615096|     0.4291218355001697|           10|           10|
     0.5725999530207837|      3.778044694494675|     0.9999936878307165|        TF|     118075.29068010635|      0.848440132575676|           13|           13|
     0.5725999530207837|     0.6345531722097013|                    1.0|        TF|     100243.15979230666|     0.1062190917940311|           19|           19|
     0.5725999530207837|     0.8965138919319718|                    1.0|        TF|      87526.87222431676|    0.36130387027596333|           10|           10|
     0.5725999530207837|      4.601444666726339|     0.9999546790431171|        TF|      75356.66787899913|     0.8755608304580232|           12|           12|
     0.5725999530207837|     0.9361841547945104|                    1.0|        TF|       63186.3908422873|     0.3883682498915316|           19|           19|
     0.5725999530207837|     0.7306531097606837|     0.9999984791050226|        TF|      54208.83444437094|    0.21631764051708247|           13|           13|
     0.5725999530207837|      4.388603136139821|     0.9999303917306995|        TF|      46857.75822860895|     0.8695256929692581|           11|           11|
     0.5725999530207837|       2.49251992397183|                    1.0|        TF|       39233.0818159011|     0.7702726676269268|           19|           19|
     0.5725999530207837|     0.8293378920431433|                    1.0|        TF|      32978.59949358362|      0.309569768227838|           18|           18|
     0.5725999530207837|     4.9649825267192575|     0.9999763313627357|        TF|     28374.378436396306|      0.884672312553103|           12|           12|
     0.5725999530207837|     0.9051759106016128|                    1.0|        TF|      23781.68860015713|    0.36741582899592085|           19|           19|
     0.5725999530207837|      4.479112913265631|     0.9998366020000481|        TF|     20474.374832069665|     0.8721621972679156|           12|           12|
     0.5725999530207837|      4.721142244608737|     0.9998211323644989|        TF|     17167.399993750212|     0.8787158015256459|           19|           19|
     0.5721336655665545|     0.5721336655665545|                    1.0|        TT|     15450.659994375192|    0.03503153190375363|           18|           19|
     0.5721336655665545|      2.032040641252997|                    1.0|        TF|     13905.593994937673|     0.7184437880072294|           10|           10|
     0.5716148937463997|     0.5716148937463997|                    1.0|        TT|     12515.034595443907|    0.02770634973230246|            4|           17|
     0.5716148937463997|     0.5964579747295278|     0.9999987788058547|        TF|     10512.629060172883|    0.04165101656054393|           10|           10|
     0.5716148937463997|     0.5811746784216916|                    1.0|        TF|      8830.608410545223|   0.016449072938369502|           10|           10|
     0.5716148937463997|     2.4083904093143795|     0.9998188382772055|        TF|      7417.711064857988|     0.7626568800740545|           10|           10|
     0.5716148937463997|      5.240199340821817|     0.9993721025564732|        TF|      6099.006875549902|     0.8909173379544081|           18|           18|
     0.5716148937463997|      5.196111654293165|     0.9992988943789763|        TF|      5007.605645188341|     0.8899917992958992|           19|           19|
     0.5716148937463997|     0.8807135332409787|     0.9999396711892896|        TF|      4111.507792891481|     0.3509638807946013|           19|           19|
     0.5716148937463997|      0.760177812110418|     0.9999634758841581|        TF|     3495.3510848709016|    0.24805106826326173|           12|           12|
     0.5716148937463997|     0.5718756643675764|                    1.0|        TF|     2986.0561622553632|   0.001720327200901428|           11|           11|
     0.5716148937463997|     3.6485989888142605|                    1.0|        TF|     2563.3761902574433|     0.8433330449581236|           10|           10|
     0.5716148937463997|     1.7710766801890032|     0.9995979617916606|        TF|      2129.556816930305|     0.6772500591643502|           19|           19|
     0.5716148937463997|      2.790674764128248|                    1.0|        TF|     1792.4367678846359|     0.7951696481818579|           16|           16|
     0.5716148937463997|     0.8678980020518783|                    1.0|        TF|     1500.3806872800342|    0.34138010181496914|           18|           18|
     0.5716148937463997|      0.572599953020831|                    1.0|        TF|      1287.388635086968|  0.0017203272009269632|           12|           12|
     0.5716148937463997|     1.4830110670090908|     0.9992930733934284|        TF|     1113.6355053471125|     0.6145579042109093|           10|           10|
     0.5716148937463997|     3.6034846309807027|     0.9975466182395879|        TF|      939.1915109521849|     0.8413716298851447|           15|           15|
     0.5716148937463997|     0.6841498919258415|     0.9998807383315338|        TF|       783.500468104318|     0.1644888050229204|           19|           19|
     0.5716148937463997|      5.462688313507638|     0.9937781023501585|        TF|      675.3161738287706|     0.8953601485310881|           11|           11|
