              ACCEPT PB|Control-G?|            TEMPERATURE|                DENSITY|ACTUAL#MARKOV|                 BEST y|                 CURR y|                 BEST x|                 CURR x|                BEST x2|                CURR x2|                BEST x3|                CURR x3|
                    0.0|       0.0|               1.5E-323|   9.554030028871008E-4|           30|      0.509352005533865|     0.5098764118385826|    -0.5925152533878306|    -0.5609976979925122|     -0.835429362797208|     -0.693074029520591|    -0.7856500679954834|      -0.91881924509818|
                    0.0|       0.0|               1.0E-323|   8.885696998610637E-4|           30|     0.5092102474179385|     0.5096900842600007|    -0.7511120631835653|    -0.8639618547408714|    -0.6333233295329526|    -0.6067125844383736|    -0.5432737806694943|    -0.8479301838586606|
                    0.0|       1.0|               1.0E-323|   9.608589752583274E-4|           30|     0.5093223817748753|     0.5097637342726051|     -0.853368163276792|    -0.7753944659168892|    -0.8189371845897075|    -0.7956259863355362|    -0.8993418887202562|     -0.960334331876278|
                    0.0|       0.0|               2.0E-323|   9.717495240688656E-4|           30|      0.509549032862241|     0.5104594966546221|    -0.9340032201493125|      -1.00049844084691|    -0.9421774428809733|    -0.6910804743743695|     -0.678711980188776|    -0.9150181480795023|
                    0.0|       0.0|               1.5E-323|   9.595516385230152E-4|           30|     0.5092180969168567|     0.5099092132653695|    -0.7397275375419485|    -0.9747049684986897|    -0.8942051125187449|    -1.0784745673097276|    -0.6733226878129177|    -1.0017208318522262|
                    0.0|       1.0|               2.0E-323|    9.87478462782354E-4|           30|     0.5092825601080948|     0.5097307925158869|    -1.0100393811012864|    -1.0020731047440439|    -0.7664278768208437|    -0.6577148317025663|    -0.6309489184412516|    -0.8316535121694055|
                    0.0|       1.0|               1.5E-323|   9.601131116483419E-4|           30|     0.5092918308082823|     0.5102519439199307|    -0.9890603474805333|    -0.9886844776443227|    -0.5491516699320709|    -0.5585358652525818|    -0.7755268239292548|    -0.7868904042619818|
                    0.0|       1.0|               1.0E-323|   9.957460112817174E-4|           30|     0.5094402202493697|     0.5103063338031479|     -1.008317528522657|    -0.9136719642746876|    -0.5010241669081335|     -0.528730235784296|    -0.8452286431021627|    -0.8134538810193819|
                    0.0|       0.0|               1.0E-323|   8.093159645379266E-4|           30|     0.5093039449338042|     0.5095659271941266|    -0.9398321106690197|    -0.7655321086289459|    -0.7111699211773221|    -0.6923293284001701|    -0.5351354373540753|    -0.7170157408885409|
                    0.0|       0.0|               1.0E-323|   9.931673903631477E-4|           30|     0.5093104456461308|      0.510303613036494|    -0.6871838705922797|    -0.8257007691457379|    -0.7675447188042301|     -0.716262335871354|    -0.9015935185887112|    -0.7295360364383086|
