                 BEST y|                 CURR y|              ACCEPT PB|  ACC-BEST|            TEMPERATURE|
                 511.97|                 511.97|                    1.0|        TT|                99950.0|
                 504.94|                 504.94|                    1.0|        TT|      99900.02500000001|
                 466.97|                 466.97|                    1.0|        TT|      99850.07498750002|
                 466.97|                 479.82|     0.9998713153376708|        TF|      99800.14995000628|
                 466.97|                 497.88|     0.9998190547206203|        TF|      99750.24987503128|
                 466.97|                 500.91|     0.9999696245975842|        TF|      99700.37475009378|
                 466.97|                  496.1|                    1.0|        TF|      99650.52456271874|
                 466.97|                  483.3|                    1.0|        TF|      99600.69930043738|
                 466.97|                 479.16|                    1.0|        TF|      99550.89895078717|
                 466.97|                 484.91|     0.9999422422699792|        TF|      99501.12350131178|
                 466.97|                 485.09|     0.9999981909768367|        TF|      99451.37293956113|
                 466.97|                 505.89|      0.999790874430352|        TF|      99401.64725309136|
                 466.97|                 494.28|                    1.0|        TF|      99351.94642946482|
                 466.97|                  499.6|      0.999946454420284|        TF|      99302.27045625009|
                 466.97|                 490.85|                    1.0|        TF|      99252.61932102196|
                 466.97|                 547.99|     0.9994244629943189|        TF|      99202.99301136145|
                 466.97|                 502.86|                    1.0|        TF|      99153.39151485577|
                 466.97|                 516.78|     0.9998596213127073|        TF|      99103.81481909835|
                 466.97|                 531.08|     0.9998557172760724|        TF|       99054.2629116888|
                 466.97|                 535.43|     0.9999560856407619|        TF|      99004.73578023296|
                 466.97|                 539.47|     0.9999591947037594|        TF|      98955.23341234286|
                 466.97|                 542.87|     0.9999656416192133|        TF|       98905.7557956367|
                 466.97|                 527.97|                    1.0|        TF|      98856.30291773888|
                 466.97|                 530.31|     0.9999763295587999|        TF|      98806.87476628002|
                 464.65|                 464.65|                    1.0|        TT|      98757.47132889688|
                 437.31|                 437.31|                    1.0|        TT|      98708.09259323243|
                 417.46|                 417.46|                    1.0|        TT|      98658.73854693583|
                 417.46|                 421.81|     0.9999559095913173|        TF|      98609.40917766237|
                 417.46|                  423.0|      0.999987932258903|        TF|      98560.10447307354|
                 417.46|                 425.88|      0.999970779678675|        TF|      98510.82442083702|
                 392.67|                 392.67|                    1.0|        TT|       98461.5690086266|
                 392.67|                 411.46|     0.9998091823297136|        TF|      98412.33822412229|
                 392.67|                 448.05|     0.9996282661364653|        TF|      98363.13205501022|
                 392.67|                 433.93|                    1.0|        TF|      98313.95048898272|
